NetList#3
0, 12
0, 20
0, 21
0, 7
1, 13
1, 19
1, 9
2, 12
2, 20
2, 24
2, 9
3, 18
3, 19
4, 14
4, 18
5, 13
5, 17
5, 7
6, 22
6, 23
6, 24
6, 8
7, 16
7, 17
8, 14
8, 19
9, 17
9, 22
10, 20
10, 23
10, 7
10, 9
11, 1
11, 12
11, 21
11, 3
12, 10
13, 1
13, 13
13, 15
13, 24
14, 0
14, 2
15, 10
15, 4
16, 1
16, 10
16, 13
16, 18
16, 24
17, 16
18, 1
18, 23
19, 23
19, 6
20, 12
20, 21
20, 23
21, 11
22, 19
22, 24
22, 3
23, 11
23, 20
23, 5
23, 8
23, 9

